,precision,recall,f1-score,support
Airplanes,0.720532319391635,0.758,0.7387914230019493,1000.0
Cars,0.8311827956989247,0.773,0.8010362694300518,1000.0
Birds,0.6117290192113246,0.605,0.6083459024635495,1000.0
Cats,0.4694201747418586,0.591,0.5232403718459495,1000.0
Deer,0.6700715015321757,0.656,0.6629610914603336,1000.0
Dogs,0.5711519845111326,0.59,0.5804230201672406,1000.0
Frogs,0.8041002277904328,0.706,0.751863684771033,1000.0
Horses,0.7798466593647316,0.712,0.7443805541035023,1000.0
Ships,0.840042372881356,0.793,0.815843621399177,1000.0
Trucks,0.7644183773216031,0.782,0.773109243697479,1000.0
accuracy,0.6966,0.6966,0.6966,0.6966
macro avg,0.7062495432445176,0.6966,0.6999995182340266,10000.0
weighted avg,0.7062495432445174,0.6966,0.6999995182340265,10000.0
