,precision,recall,f1-score,support
Airplanes,0.6163583252190847,0.633,0.6245683275777011,1000.0
Cars,0.7085478887744593,0.688,0.6981227803145611,1000.0
Birds,0.4948805460750853,0.435,0.4630122405534859,1000.0
Cats,0.4132762312633833,0.386,0.39917269906928643,1000.0
Deer,0.5042283298097252,0.477,0.49023638232271327,1000.0
Dogs,0.4989406779661017,0.471,0.4845679012345679,1000.0
Frogs,0.5890756302521009,0.701,0.6401826484018265,1000.0
Horses,0.6156156156156156,0.615,0.6153076538269134,1000.0
Ships,0.6635338345864662,0.706,0.6841085271317829,1000.0
Trucks,0.609942638623327,0.638,0.6236559139784946,1000.0
accuracy,0.575,0.575,0.575,0.575
macro avg,0.5714399718185349,0.575,0.5722935074411334,10000.0
weighted avg,0.571439971818535,0.575,0.5722935074411333,10000.0
