,precision,recall,f1-score,support
Airplanes,0.3039480800432666,0.562,0.39452439452439453,1000.0
Cars,0.5611510791366906,0.234,0.3302752293577982,1000.0
Birds,0.2044150110375276,0.463,0.28361408882082695,1000.0
Cats,0.2546728971962617,0.218,0.2349137931034483,1000.0
Deer,0.2448394495412844,0.427,0.3112244897959184,1000.0
Dogs,0.42028985507246375,0.203,0.2737693863789616,1000.0
Frogs,0.38079470198675497,0.23,0.286783042394015,1000.0
Horses,0.7149122807017544,0.163,0.26547231270358307,1000.0
Ships,0.42938254080908445,0.605,0.502283105022831,1000.0
Trucks,0.7379310344827587,0.107,0.1868995633187773,1000.0
accuracy,0.3212,0.3212,0.3212,0.3212
macro avg,0.42523369300078473,0.32120000000000004,0.30697594054205546,10000.0
weighted avg,0.4252336930007847,0.3212,0.3069759405420554,10000.0
