,precision,recall,f1-score,support
Airplanes,0.5226377952755905,0.531,0.5267857142857143,1000.0
Cars,0.5298804780876494,0.532,0.530938123752495,1000.0
Birds,0.3469135802469136,0.281,0.3104972375690608,1000.0
Cats,0.34339080459770116,0.239,0.2818396226415094,1000.0
Deer,0.36423841059602646,0.385,0.37433155080213903,1000.0
Dogs,0.4137191854233655,0.386,0.3993792033109157,1000.0
Frogs,0.4110169491525424,0.582,0.4817880794701987,1000.0
Horses,0.4994246260069045,0.434,0.46441947565543074,1000.0
Ships,0.5380333951762524,0.58,0.5582290664100096,1000.0
Trucks,0.487957181088314,0.547,0.5157944365865158,1000.0
accuracy,0.4497,0.4497,0.4497,0.4497
macro avg,0.44572124056512596,0.4497,0.444400251048399,10000.0
weighted avg,0.445721240565126,0.4497,0.44440025104839886,10000.0
