,precision,recall,f1-score,support
Airplanes,0.5293005671077504,0.56,0.54421768707483,1000.0
Cars,0.4990791896869245,0.542,0.5196548418024928,1000.0
Birds,0.3660287081339713,0.306,0.3333333333333333,1000.0
Cats,0.33672172808132145,0.265,0.2965864577504197,1000.0
Deer,0.38130155820348305,0.416,0.397895743663319,1000.0
Dogs,0.4148936170212766,0.39,0.4020618556701031,1000.0
Frogs,0.47643530419880037,0.556,0.5131518227964929,1000.0
Horses,0.5047058823529412,0.429,0.46378378378378377,1000.0
Ships,0.5672348484848485,0.599,0.5826848249027238,1000.0
Trucks,0.46235606731620904,0.522,0.4903710662282762,1000.0
accuracy,0.4585,0.4585,0.4585,0.4585
macro avg,0.45380574705875265,0.4585000000000001,0.4543741417005774,10000.0
weighted avg,0.4538057470587526,0.4585,0.45437414170057744,10000.0
